Model,MAE,RMSE,MAPE (%)
LSTM,0.5089461319974098,1.0489630922026019,74.47696514190825
ExpSmoothing,1.0765995390335419,1.8368547583337747,254.94969478068228
ARIMA,1.1626685901234863,1.645457156007315,406.1961909132244
AR,1.1653426395553186,1.649549931787874,404.9526189173127
MA,1.2698211333740272,1.3928910966317523,613.0338068584944
